url,title,title_word_count,title_char_count,author,published_date,word_count,num_paragraphs,num_images,num_external_links,num_tags
https://www.navalnews.com/naval-news/2026/07/st-engineering-launches-second-mrcv-for-republic-of-singapore-navy/,ST Engineering Launches Second MRCV For Republic of Singapore Navy,10,66,Naval News Staff,2026-07-23,1025,21,4,2,3
https://www.navalnews.com/naval-news/2026/07/fincantieri-cuts-steel-second-italian-navy-fremm-evo-frigate/,Fincantieri Cuts Steel for Second Italian Navy FREMM EVO Frigate,10,64,Xavier Vavasseur,2026-07-23,458,8,0,1,3
https://www.navalnews.com/naval-news/2026/07/fincantieri-strengthens-the-u212-nfs-program-with-new-technologies-advanced-services-and-accelerated-delivery-schedule/,"Fincantieri strengthens the U212 NFS program with new technologies, advanced services and accelerated delivery schedule",15,119,Naval News Staff,2026-07-23,629,7,0,0,3
https://www.navalnews.com/naval-news/2026/07/rimpac-2026-sinkex-allied-anti-ship-missile-strikes/,RIMPAC 2026 SINKEX Highlights Expanding Allied Anti-Ship Capabilities,9,69,Aaron-Matthew Lariosa,2026-07-23,533,12,8,1,3
https://www.navalnews.com/naval-news/2026/07/indian-navy-commissions-ins-malvan-the-2nd-of-mahe-class-asw-swc/,"Indian Navy Commissions INS Malvan, the 2nd of Mahe-class ASW SWC",12,65,Naval News Staff,2026-07-23,718,12,2,0,3
https://www.navalnews.com/naval-news/2026/07/babcock-and-lig-da-sign-strategic-cooperation-agreement-to-promote-global-capabilities/,Babcock and LIG D&A sign Strategic Cooperation Agreement to promote global capabilities,13,87,Naval News Staff,2026-07-23,281,7,0,0,3
https://www.navalnews.com/naval-news/2026/07/us-navy-coaspire-chaos-cruise-missile-raacm-er/,US Navy Awards CoAspire $70M to Develop CHAOS Cruise Missile for Coalition Allies,13,81,Naval News Staff,2026-07-22,338,5,2,0,3
https://www.navalnews.com/naval-news/2026/07/raytheon-us-navy-spy6-radar-contract-extension/,Raytheon Secures $1.8B Contract Extension for US Navy SPY-6 Radars,12,66,Naval News Staff,2026-07-22,261,5,0,2,2
https://www.navalnews.com/naval-news/2026/07/hd-hyundai-and-sima-unveil-hds-mgp-submarine-vision-for-peruvian-navy/,HD Hyundai and SIMA Unveil HDS-MGP Submarine Vision for Peruvian Navy,12,69,Naval News Staff,2026-07-22,544,12,2,1,3
https://www.navalnews.com/naval-news/2026/07/bae-systems-unveils-brontanax-autonomous-combat-aircraft/,BAE Systems Unveils Brontanax: UK’s First Autonomous Combat Aircraft,10,68,Naval News Staff,2026-07-22,917,16,0,3,3
https://www.navalnews.com/naval-news/2026/07/babcock-partners-with-acua-ocean-technologies-and-frankenburg-on-maritime-counter-drone-air-defence-systems/,Babcock partners with ACUA Ocean Technologies and Frankenburg on maritime counter-drone air defence systems,15,107,Naval News Staff,2026-07-22,426,10,2,1,3
https://www.navalnews.com/naval-news/2026/07/elistair-and-exail-bring-persistent-aerial-surveillance-to-usvs/,Elistair and Exail bring persistent aerial surveillance to USVs,9,63,Naval News Staff,2026-07-22,287,6,0,0,3
https://www.navalnews.com/naval-news/2026/07/the-netherlands-and-naval-group-extend-the-industrial-cooperation-agreement/,The Netherlands and Naval Group extend the Industrial Cooperation Agreement,10,75,Naval News Staff,2026-07-22,249,5,0,0,4
https://www.navalnews.com/naval-news/2026/07/heavily-armed-ukrainian-sea-king-at-farnborough-airshow/,Heavily Armed Ukrainian Sea King At Farnborough Airshow,8,55,H I Sutton,2026-07-21,510,9,2,3,2
https://www.navalnews.com/naval-news/2026/07/belgium-aswf-frigate-alternatives-damen-delays/,Belgium Eyes ASWF Alternatives as Damen Timeline and Costs Soar,10,63,Tayfun Ozberk,2026-07-21,1287,15,2,2,3
